ph,temperature_c,turbidity_ntu,dissolved_oxygen,conductivity_us,ph_category
8.05,16.24,8.51,10.8,458,1
7.38,24.17,4.74,9.16,486,1
8.22,17.58,9.55,6.71,307,1
7.89,18.05,6.68,10.22,342,1
6.69,27.65,1.6,5.59,578,0
8.45,22.86,8.91,10.42,540,1
8.02,33.44,5.15,9.13,365,1
8.07,21.38,1.85,5.78,296,1
6.76,29.52,1.95,5.56,320,0
7.4,24.22,7.03,10.26,415,1
7.24,28.2,0.95,7.05,426,1
8.35,26.99,3.22,11.23,273,1
7.79,24.46,1.83,10.33,226,1
8.15,34.0,4.69,9.89,398,1
7.39,21.85,4.44,6.95,518,1
6.95,18.54,5.46,9.96,260,0
7.61,28.56,3.16,11.64,363,1
6.63,31.92,0.8,5.64,264,0
8.16,15.81,6.34,7.28,296,1
7.76,23.99,4.05,6.64,444,1
8.02,32.85,6.69,7.75,314,1
7.21,29.99,1.53,10.2,305,1
8.44,34.84,0.63,8.32,598,1
8.29,25.63,2.86,9.0,268,1
8.06,28.2,4.84,7.2,275,1
6.89,21.05,4.24,5.99,571,0
7.43,33.95,8.2,6.87,420,1
6.59,22.33,4.09,11.02,217,0
6.81,29.77,5.54,9.22,369,0
7.87,23.06,6.14,7.65,426,1
7.99,26.24,0.71,10.53,301,1
8.44,29.4,5.39,5.45,419,1
7.15,25.18,3.78,6.78,459,1
7.24,33.14,4.5,6.61,300,1
7.44,23.39,1.45,11.9,524,1
6.88,27.94,7.94,9.94,381,0
6.76,21.85,9.45,9.32,585,0
7.45,23.16,0.71,5.03,235,1
6.95,23.8,6.21,6.29,329,0
7.84,17.52,7.76,9.45,488,1
7.37,16.83,3.21,7.66,557,1
8.17,28.35,7.98,11.47,288,1
7.9,28.11,6.51,10.35,592,1
7.12,28.26,9.33,8.13,277,1
8.16,15.4,9.82,10.25,366,1
8.11,21.53,0.9,11.83,325,1
7.27,18.96,4.73,8.23,369,1
7.08,30.56,5.7,9.5,560,1
7.86,32.21,1.89,11.43,493,1
6.78,19.93,3.69,6.74,518,0
6.9,28.36,9.88,11.21,301,0
6.51,17.59,0.65,5.68,578,0
8.07,20.5,4.8,9.54,374,1
7.83,17.77,8.51,10.48,460,1
7.91,20.67,3.58,9.3,479,1
8.06,28.49,5.06,8.47,465,1
7.42,33.21,9.79,9.32,440,1
7.64,19.05,5.01,6.06,392,1
6.78,25.84,1.74,6.51,459,0
6.73,29.03,0.99,6.89,562,0
7.84,34.06,9.48,9.18,355,1
7.44,27.2,3.03,8.09,404,1
7.63,20.1,5.29,6.71,272,1
8.03,27.51,1.36,11.18,342,1
7.77,21.41,4.52,7.62,508,1
7.61,34.52,9.34,8.12,456,1
7.62,22.99,5.27,7.87,284,1
7.11,28.71,9.73,6.27,418,1
6.56,15.46,2.96,10.12,524,0
7.37,23.0,5.29,8.14,249,1
6.93,32.5,8.67,5.11,224,0
7.32,27.2,4.76,11.75,357,1
8.21,23.88,3.16,10.71,462,1
6.97,33.72,8.63,10.06,325,0
6.62,32.08,4.2,11.08,528,0
7.06,21.44,5.54,11.35,538,1
7.09,25.89,9.78,7.36,413,1
7.82,24.8,2.27,9.28,351,1
7.61,27.64,3.36,9.26,216,1
8.07,21.68,0.8,6.87,528,1
7.83,19.88,4.22,6.55,558,1
7.31,33.25,2.4,5.8,376,1
8.13,33.48,6.96,9.62,406,1
6.83,31.87,2.22,10.47,501,0
6.55,34.56,6.91,10.33,478,0
6.68,29.9,3.0,7.21,254,0
7.94,30.29,3.87,6.44,468,1
7.42,30.25,3.81,8.18,569,1
6.82,24.61,7.31,8.83,500,0
7.5,24.13,4.93,11.43,392,1
6.8,19.8,3.93,11.12,409,0
7.89,27.9,8.6,11.41,303,1
7.39,20.79,5.93,10.95,464,1
7.26,20.16,2.53,11.75,296,1
7.1,26.72,9.05,8.26,336,1
7.76,23.2,3.76,5.33,306,1
7.22,19.38,0.87,5.58,334,1
6.68,31.32,5.2,7.73,346,0
6.74,32.21,1.68,6.8,233,0
8.42,18.35,2.77,6.19,487,1
8.32,15.15,7.6,11.67,376,1
7.9,21.72,1.74,6.37,579,1
7.03,30.95,8.17,11.72,272,1
8.44,31.78,9.4,10.33,467,1
8.06,17.77,6.26,9.49,271,1
7.93,30.49,7.25,9.73,418,1
7.4,17.31,7.28,7.32,396,1
7.04,22.8,9.93,9.52,379,1
6.69,34.97,3.74,6.31,461,0
8.31,18.85,2.05,11.56,531,1
7.41,18.08,5.43,7.11,326,1
6.9,23.46,5.57,6.79,539,0
7.11,27.39,2.19,9.98,273,1
7.66,33.66,6.32,9.6,317,1
6.85,34.62,0.63,8.16,324,0
8.21,16.39,9.31,9.43,581,1
8.02,17.76,3.01,6.12,247,1
7.94,30.81,0.88,9.71,358,1
7.36,20.41,1.53,6.89,369,1
7.75,32.7,2.78,6.91,520,1
7.67,28.27,3.1,6.14,394,1
7.8,17.24,0.81,7.33,586,1
6.67,31.65,3.15,7.32,496,0
7.33,18.53,2.33,8.18,481,1
6.58,23.47,4.1,6.33,501,0
7.49,26.04,4.16,6.35,264,1
7.16,25.02,3.72,8.79,379,1
6.79,28.72,3.62,5.9,434,0
6.71,28.05,1.35,9.82,283,0
7.68,34.84,0.74,11.61,247,1
6.84,34.99,2.42,7.99,254,0
8.35,25.33,7.69,11.31,515,1
7.66,16.9,9.91,5.69,462,1
7.19,29.56,9.32,5.3,312,1
7.68,34.53,5.29,10.05,494,1
6.55,21.37,5.55,10.33,478,0
8.42,24.22,3.49,10.9,526,1
7.46,23.5,7.85,5.4,564,1
8.07,16.03,7.77,10.44,552,1
6.67,28.45,8.52,7.64,272,0
7.47,22.07,9.01,7.12,507,1
7.48,30.75,4.63,6.21,357,1
8.38,31.64,7.79,11.97,361,1
7.64,31.42,8.16,5.45,458,1
7.45,23.33,3.43,10.79,440,1
7.03,21.43,9.33,9.48,367,1
7.16,29.98,1.4,10.15,599,1
7.54,31.03,9.95,9.98,269,1
7.38,24.83,7.82,11.01,238,1
6.54,32.86,1.39,6.29,211,0
8.15,17.88,6.73,5.01,525,1
8.29,32.58,0.82,9.19,362,1
6.78,16.92,7.82,7.48,374,0
7.61,18.07,8.09,5.87,459,1
6.72,25.68,6.22,6.3,374,0
7.84,16.35,8.64,7.32,429,1
7.06,16.06,1.43,5.49,223,1
7.82,15.01,3.12,5.4,262,1
7.95,23.73,4.43,11.41,572,1
8.04,30.49,0.9,7.18,380,1
6.72,15.7,4.76,11.88,266,0
8.33,28.05,3.02,11.75,347,1
6.96,31.46,4.23,6.0,333,0
6.57,18.36,4.54,10.0,309,0
7.61,17.94,8.85,9.21,317,1
7.24,32.22,3.07,9.83,491,1
8.16,31.46,8.99,5.67,242,1
8.12,25.78,4.55,6.32,323,1
